Condition,Strategy,Accuracy,Bal Accuracy,Macro F1
Load_0HP,Scratch,0.8480432972522898,0.87953216374269,0.8753489241572747
Load_0HP,ImageNet,0.9142381348875936,0.9307931286549707,0.9308653447950844
Load_0HP,VibNet_from_Scratch,0.9979184013322231,0.9983369883040936,0.998309752977908
Load_0HP,VibNet_from_ImageNet,0.9962531223980017,0.9970394736842105,0.9970099571738915
Load_1HP,Scratch,0.9964871194379391,0.9970211988304093,0.9969737268992973
Load_1HP,ImageNet,0.9836065573770492,0.9861659356725145,0.9858106815061878
Load_1HP,VibNet_from_Scratch,0.9996096799375488,0.999671052631579,0.9996619274066771
Load_1HP,VibNet_from_ImageNet,1.0,1.0,1.0
Load_2HP,Scratch,1.0,1.0,1.0
Load_2HP,ImageNet,0.9996096799375488,0.999671052631579,0.9996619274066771
Load_2HP,VibNet_from_Scratch,1.0,1.0,1.0
Load_2HP,VibNet_from_ImageNet,1.0,1.0,1.0
Load_3HP,Scratch,0.9625292740046838,0.9676717836257309,0.9680903205210257
Load_3HP,ImageNet,0.9656518345042935,0.9697368421052632,0.9703098902076268
Load_3HP,VibNet_from_Scratch,1.0,1.0,1.0
Load_3HP,VibNet_from_ImageNet,1.0,1.0,1.0
